text,nile
5 Gbps bandwidth limit for the server racks from 4PM to 7PM,"define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
from network to dpi,define intent uniIntent: for endpoint('network') add middlebox('dpi')
"Hi Lumi, set torrent traffic bandwidth to limit 100 Mbps","define intent uniIntent: for traffic('torrent') set bandwidth('max', '100', 'mbps')"
limit 10 GB per week download from Internet  to Dorms,"define intent uniIntent: from endpoint('gateway') to endpoint('dorms') set quota('download', '10', 'gb/wk')"
block F2movies traffic,define intent uniIntent: for endpoint('network') block service('F2movies')
inspect all traffic from the internet,"define intent uniIntent: for endpoint('gateway'), traffic('all') add middlebox('dpi')"
"Hey lumi, please block traffic for all students",define intent uniIntent: for group('students') block traffic('all')
o ensure that all traffic from the Internet to the labs is carefully inspected by the Deep Packet Inspection middlebox.,define intent uniIntent: from endpoint('gateway') to endpoint('labs') for traffic('all') add middlebox('dpi')
block f2movies for students in labs,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
"hey lumi, please allow traffic only from professors",define intent uniIntent: for group('professors') 
"please lumi, define quota to 10 gb per week to dorms","define intent uniIntent: for endpoint('dorms') set quota('download', '10', 'gb/wk')"
Block f2movies traffic for labs,define intent uniIntent: for endpoint('labs') block service('F2movies')
Set 10 GB per week as download quota for the dorms,"define intent uniIntent: for endpoint('dorms') set quota('download', '10', 'gb/wk')"
"Hey Lumi, drive the studants traffic to DPI and then to Labs","define intent uniIntent: for endpoint('labs'), protocol('studants') add middlebox('dpi')"
set a 5 Gbps bandwidth limit for the server racks from 4PM to 7PM,"define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
Set quota to 10 GB per week at dorms,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
inspect all traffic by DPI,define intent uniIntent: for traffic('all') add middlebox('dpi')
set a 5 Gbps bandwidth limit for the server racks from 4PM to 7PM.,"define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
block porn for network 192.168.0.0/24,define intent uniIntent: for endpoint('network') block service('porn')
limit torrent traffic to 100mbps,"define intent uniIntent: for traffic('torrent') set bandwidth('max', '100', 'mbps')"
limit students data to 10gb week,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb')"
limit dorms traffic 10gb per week,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
Block F2movies traffic from Internet to Labs.,"define intent uniIntent: for endpoint('gateway'), endpoint('labs') block service('F2movies')"
set quota to 10 GB per week at servers,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
block all traffic in the network,define intent uniIntent: for endpoint('network') block traffic('all')
block all student traffic in the network,"define intent uniIntent: for group('students'), traffic('all'), endpoint('network') "
limit servers traffic to 5gbps between 4pm and 7pm,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
Limit the traffic to Dorms to 10 GB per week.,"define intent uniIntent: for endpoint('dorms'), traffic('all') set quota('download', '10', 'gb/wk')"
Send internet traffic through DPI,define intent uniIntent: for endpoint('gateway') add middlebox('dpi')
Block F2movies traffic going to labs,define intent uniIntent: for endpoint('labs') block service('F2movies')
"Lumi, inspect all traffic from the Internet to the student labs in the DPI",define intent uniIntent: from endpoint('gateway') to endpoint('labs') for traffic('all') add middlebox('dpi')
"Lumi, limit the the torrent traffic to 100 Mbps","define intent uniIntent: for traffic('torrent') set bandwidth('max', '100', 'mbps')"
"Lumi, I want you to block all traffic from the F2movies to students in labs","define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies') traffic('all')"
block f2movies traffic to labs,define intent uniIntent: for endpoint('labs') block service('F2movies')
block f2movies traffic for students in labs,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
limit traffic to server racks to 5 gbps from 4pm to 7pm,"define intent uniIntent: for traffic('all'), endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
limit the bandwith from servers to 5 gbps from 4pm to 7pm,"define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
"Hey Lumi, please limit the bandwith from gateway to servers to 5Gbps from 4PM-7PM","define intent uniIntent: from endpoint('gateway') to endpoint('servers') set bandwidth('max', '5', 'gbps')"
rate limit guests 100mbps,"define intent uniIntent: for endpoint('network') set bandwidth('max', '100', 'mbps')"
student quota dorm 10gb week,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
student quota dorms 10gb week,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
set torrent bandwidth to 100 Mbps,"define intent uniIntent: for traffic('torrent') set bandwidth('max', '100', 'mbps')"
limit guest torrent traffic to 100 Mbps,"define intent uniIntent: for group('guests'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
"Lumi, let's configure the network for dpi","define intent uniIntent: for endpoint('network')  add middlebox('configure'), middlebox('dpi')"
Limit bandwidth usage to 50 mbps for professors.,"define intent uniIntent: for group('professors') set bandwidth('max', '50', 'mbps')"
Block all traffic,define intent uniIntent: for endpoint('network') block traffic('all')
limit guest network to 100 mbps,"define intent uniIntent: for group('guests') set bandwidth('max', '100', 'mbps')"
"Hey Lumi, please block traffic for all students",define intent uniIntent: for group('students') block traffic('all')
from endpoint('Internet')     to endpoint('labs')     block service('F2movies'),define intent uniIntent: for endpoint('network') block service('F2movies') add middlebox('Internet')
block F2movies traffic for students in the labs.,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
Students can download up to 10 GB per week of data.,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
Limit bandwidth usage to 50 mbps for professors.,"define intent uniIntent: for group('professors') set bandwidth('max', '50', 'mbps')"
"Hey Lumi, please block traffic for all students",define intent uniIntent: for group('students') block traffic('all')
limit torrent traffic to 100 mbps for guests,"define intent uniIntent: for endpoint('guests'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
Students can download up to 10 GB per week of data,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
Employees may only use 15GB of data per month,define intent uniIntent: for endpoint('network')
block bob's traffic,define intent uniIntent: for endpoint('network') block traffic('all')
"hey lumi, please help my network be profitable",define intent uniIntent: for endpoint('network')
block F2movies for students in labs,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
"hey lumi, block traffic for all students",define intent uniIntent: for group('students') block traffic('all')
Remove all firewall,define intent uniIntent: for endpoint('network') remove middlebox('firewall')
limit the bandwidth of the guests to 100Mbps,"define intent uniIntent: for endpoint('guests') set bandwidth('max', '100', 'mbps')"
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
Students can download up to 10 GB per week of data.,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
"please lumi, limit guests torrent bandwidth to 100 Mbps","define intent uniIntent: for traffic('guests') set bandwidth('max', '100', 'mbps')"
"please lumi, block f2movies traffic from internet to students labs","define intent uniIntent: for group('students'), endpoint('gateway') block service('F2movies')"
set a 5 Gbps bandwidth limit for the server racks from 4PM to 7PM,"define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
Set a 100 Mbps the bandwidth limit from Internet to Guests,"define intent uniIntent: for group('guests'), endpoint('gateway') set bandwidth('max', '100', 'mbps')"
internet traffic to lan is limited to 100mbps,"define intent uniIntent: from endpoint('gateway') to endpoint('LAN') set bandwidth('max', '100', 'mbps')"
internet traffic to lan is limited to 100mbps,"define intent uniIntent: from endpoint('gateway') to endpoint('LAN') set bandwidth('max', '100', 'mbps')"
internet traffic to lan is limited to 100mbps,"define intent uniIntent: from endpoint('gateway') to endpoint('LAN') set bandwidth('max', '100', 'mbps')"
internet traffic to lan is limited to 100mbps,"define intent uniIntent: from endpoint('gateway') to endpoint('LAN') set bandwidth('max', '100', 'mbps')"
internet to lan guota is 10gb/wk,"define intent uniIntent: for endpoint('LAN') set quota('download', '10', 'gb/wk')"
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
alguien me hackeado las redes sociales puedes averiguar quien fue,define intent uniIntent: for endpoint('network') allow traffic('social-media')
"Hey Lumi, please block traffic for all students",define intent uniIntent: for group('students') block traffic('all')
Add firewall from the gateway to the backend for client B with at least 100 mbps of bandwidth,"define intent uniIntent: from endpoint('gateway') to endpoint('backend') add middlebox('firewall') set bandwidth('max', '100', 'mbps')"
Add firewall from the gateway to the backend with at least 100 mbps of bandwidth,"define intent uniIntent: from endpoint('gateway') to endpoint('backend') add middlebox('firewall') set bandwidth('max', '100', 'mbps')"
Add firewall from the gateway to the backend for client B with at least 100 mbps of bandwidth and allow HTTPS only,"define intent uniIntent: from endpoint('gateway') to endpoint('backend') add middlebox('firewall') allow protocol('https') set bandwidth('max', '100', 'mbps')"
Add firewall from the gatewy to the backend for teachers with at least 100mbps of bandwidth,"define intent uniIntent: for group('professors'), endpoint('backend') add middlebox('firewall') set bandwidth('max', '100', 'mbps')"
Add firewall and add firewall,define intent uniIntent: for endpoint('network') add middlebox('firewall') 
add firewall and intrusion detection,"define intent uniIntent: for endpoint('network') add middlebox('firewall'), middlebox('ids')"
add firewall,define intent uniIntent: for endpoint('network') add middlebox('firewall')
block teachers,define intent uniIntent: for group('professors') 
block facebook,define intent uniIntent: for endpoint('network') block service('facebook')
Block Facebook,define intent uniIntent: for endpoint('network') block service('facebook')
"add firewall and intrusion detection from the  gateway to the backend for client B with at least 100 mbps of  bandwidth, and allow HTTPS only","define intent uniIntent: from endpoint('gateway') to endpoint('backend') add middlebox('firewall'), middlebox('ids') allow protocol('https') set bandwidth('max', '100', 'mbps')"
"add firewall and intrusion detection from the  gateway to the backend for client B with at least 100 mbps of  bandwidth, and allow HTTPS only","define intent uniIntent: from endpoint('gateway') to endpoint('backend') add middlebox('firewall'), middlebox('ids') allow protocol('https') set bandwidth('max', '100', 'mbps')"
"add firewall and intrusion detection from the  gateway to the backend for teachers with at least 100 mbps of  bandwidth, and allow HTTPS only","define intent uniIntent: from endpoint('gateway') to endpoint('backend') for group('professors') add middlebox('firewall'), middlebox('ids') allow protocol('https') set bandwidth('max', '100', 'mbps')"
"Lumi, for the guest network, limit the traffic of torrent protocol to 100 mbps","define intent uniIntent: for group('guests'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
unblock facebook,define intent uniIntent: for endpoint('network') allow service('facebook')
unblock facebook,define intent uniIntent: for endpoint('network') allow service('facebook')
unblock traffic,define intent uniIntent: for endpoint('network') 
block facebook,define intent uniIntent: for endpoint('network') block service('facebook')
Block F2movies traffic from Internet to Labs,define intent uniIntent: from endpoint('gateway') to endpoint('labs') block service('F2movies')
Block F2movies traffic from Internet to student Labs,define intent uniIntent: from endpoint('gateway') to endpoint('labs') block service('F2movies')
Block F2movies traffic from Internet to student Labs,define intent uniIntent: from endpoint('gateway') to endpoint('labs') block service('F2movies')
"hey Lumi, add dpi to labs",define intent uniIntent: for endpoint('labs') add middlebox('dpi')
"Lumi, for the guest network, limit the traffic of torrent protocol to 100 mbps","define intent uniIntent: for group('guests'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
unblock facebook,define intent uniIntent: for endpoint('network') allow service('facebook')
unblock traffic,define intent uniIntent: for endpoint('network') 
block facebook,define intent uniIntent: for endpoint('network') block service('facebook')
Block F2movies traffic from Internet to Labs,define intent uniIntent: from endpoint('gateway') to endpoint('labs') block service('F2movies')
Block F2movies traffic from Internet to student Labs,define intent uniIntent: from endpoint('gateway') to endpoint('labs') block service('F2movies')
Add DPI middlebox into all traffic from Internet to the Labs,define intent uniIntent: from endpoint('gateway') to endpoint('labs') for traffic('all') add middlebox('dpi')
All traffic from the Internet to the Labs has to go to DPI server and then goes to the Labs,define intent uniIntent: from endpoint('gateway') to endpoint('labs') for traffic('all') add middlebox('dpi')
add dpi to labs network,define intent uniIntent: for endpoint('labs') add middlebox('dpi')
"Hey Lumi, add DPI to the labs network",define intent uniIntent: for endpoint('labs') add middlebox('dpi')
"hey Lumi, add dpi to labs",define intent uniIntent: for endpoint('labs') add middlebox('dpi')
limit servers bandwidth to 5 gbps between 4pm and 7pm,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
unblock facebook traffic,define intent uniIntent: for endpoint('network') allow service('facebook traffic')
allow all traffic,define intent uniIntent: for endpoint('network') 
allow all traffic,define intent uniIntent: for endpoint('network') 
block all student traffic in the network,"define intent uniIntent: for group('students'), endpoint('network') block traffic('all')"
block all student traffic in the network,"define intent uniIntent: for group('students'), endpoint('network') block traffic('all')"
Block all student traffic in the network,"define intent uniIntent: for group('students'), endpoint('network') block traffic('all')"
block all student traffic,define intent uniIntent: for group('students') block traffic('all')
block all traffic,define intent uniIntent: for endpoint('network') block traffic('all')
Limit students in the dorm to 10 GB per week,"define intent uniIntent: for group('students'), endpoint('dorm') set quota('download', '10', 'gb/wk')"
Make sure all traffic from the Internet to the labs is inspected by the DPI middlebox,define intent uniIntent: from endpoint('gateway') to endpoint('labs') for traffic('all') add middlebox('dpi')
Between internet and servers limit traffic to 5 Gbps start 16:00 finish 19:00,"define intent uniIntent: from endpoint('gateway') to endpoint('servers') for traffic('all') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
Between internet and servers limit traffic to 5 Gbps interval 4pm to 7pm,"define intent uniIntent: from endpoint('gateway') to endpoint('servers') for traffic('all') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
limit the bandwidth to 5 Gb for rack servers from 4 pm until 7 pm,"define intent uniIntent: for endpoint('network') set quota('download', '5', 'gb/hr') start hour('16:00') end hour('19:00')"
limit the bandwidth to 5 Gb for rack servers from 4 to 7 pm,"define intent uniIntent: for endpoint('network') set quota('download', '5', 'gb/hr')"
